dokid	anforande_nummer
GR10106	32
GR10138	11
GR10138	13
GR10141	2
GR10141	5
GR10141	8
GR10152	57
GR10162	11
GR10162	14
GR10162	17
GR10163	40
GR10163	42
GR10164	45
GR10176	61
GR10176	63
GR10176	65
GR10177	68
GR10177	71
GR10177	74
GR10190	19
GR10190	21
GR10190	23
GR10194	20
GR10194	22
GR10194	24
GR10197	28
GR10197	29
GR10197	30
GR10197	32
GR10197	33
GR10197	34
GR10197	37
GR10200	41
GR10200	43
GR10200	45
GR10214	13
GR10214	15
GR10214	19
GR10214	21
GR10214	25
GR10216	2
GR10216	5
GR10216	8
GR10226	11
GR10226	14
GR10226	17
GR10240	39
GR10240	41
GR10240	43
GR10251	2
GR10251	3
GR10251	5
GR10251	6
GR10251	8
GR10253	28
GR10253	29
GR10253	31
GR10253	32
GR10253	34
GR10255	46
GR10255	48
GR10255	50
GR10284	58
GR10284	60
GR10284	62
GR10284	64
GR10296	2
GR10296	3
GR10296	8
GR10296	9
GR10296	14
GR10297	24
GR10297	27
GR10307	44
GR10307	46
GR10330	32
GR10330	35
GR10331	39
GR10331	43
GR10331	47
GR10346	49
GR10346	52
GR10384	3
GR10416	82
GR10416	84
GR10416	86
GR10435	26
GR10435	28
GR10435	30
GR10436	33
GR10436	35
GR10438	16
GR10438	19
GR10438	22
GR10439	2
GR10439	5
GR10439	8
GR10444	24
GR10444	26
GR10444	28
GR10452	13
GR10452	16
GR10462	155
GR10462	157
GR10462	159
GR10462	161
GR10462	163
GR10464	166
GR10476	20
GR10476	25
GR10504	97
GR10504	100
GR10504	103
GR10507	34
GR10508	47
GR10508	49
GR10508	51
GR10523	129
GR10523	134
GR10529	60
GR10529	62
GR10529	64
GR10530	66
GR10530	68
GR10530	70
GR10533	183
GR10533	185
GR10542	188
GR10542	193
GS01BOU4	143
GS01BOU4	144
GS01BOU4	147
GS01BOU4	149
GS01BOU4	151
GS01BOU4	153
GS01BOU4	160
GS01BOU4	162
GS01BOU4	164
GS01BOU4	166
GS01FIU20	51
GS01UBU3	118
GS01UBU3	139
GS01UBU3	140
GS10101	127
GS10101	129
GS10101	131
GS1011	3
GS1011	7
GS10117	29
GS10117	32
GS10119	108
GS10119	109
GS10121	32
GS10121	34
GS10121	36
GS10123	114
GS10123	119
GS10123	123
GS10123	128
GS10123	133
GS10124	6
GS10124	8
GS10124	10
GS10125	34
GS10125	36
GS10125	38
GS10127	38
GS10127	39
GS10127	41
GS10127	42
GS10127	44
GS10127	45
GS10127	46
GS10142	2
GS10142	3
GS10142	5
GS10142	6
GS10142	9
GS1016	19
GS1016	20
GS1016	21
GS1016	22
GS1016	23
GS1016	24
GS1016	25
GS1018	30
GS1018	32
GS1018	34
GS1018	36
GS10186	93
GS10186	96
GS10186	99
GS10188	102
GS10188	105
GS10188	108
GS10216	119
GS10216	122
GS1023	47
GS1023	52
GS1023	57
